"","age","handedness","gender","list","radians","center","pos_1","pos_2","type","degrees","map_file","PE","object","isFiller","outdoors_response","stimulus","ind_out_resp.keys","ind_out_resp.rt","participant","trial_n_block","block","trial_n","x","y","fixations","center_low","fixation_error","fixation_prediction"
"766",22,"r","m","lists/127/stimuli_position_map_1.csv",1.10595634474784,341.899159663866,71.8991596638655,251.899159663866,"medium",63.3987713549716,"maps/google_map_1.png","81.4996116911061","objects/1/1_113.jpg",0,"indoors","Toilet.jpg","l",0.399370699999992,127,72,1,72,1079.80004882812,269.299987792969,66.1279030536741,341.899159663866,2.72913169870249,84.2287433898081
"776",22,"r","m","lists/127/stimuli_position_map_1.csv",5.99283300995155,341.899159663866,71.8991596638655,251.899159663866,"low",343.5381980227,"maps/google_map_1.png","1.63903835883467","objects/1/1_126.jpg",1,"outdoors","Bench_Park.jpg","a",0.409921800000149,127,73,1,73,1288,612.400024414062,347.552595244498,341.899159663866,4.01439722179811,5.65343558063211
"786",22,"r","m","lists/127/stimuli_position_map_1.csv",3.5309057062342,341.899159663866,71.8991596638655,251.899159663866,"high",202.408607363744,"maps/google_map_1.png","139.490552300122","objects/1/1_94.jpg",0,"outdoors","Gorilla.jpg","a",0.404089600000162,127,74,1,74,NA,NA,NA,341.899159663866,NA,NA
"796",22,"r","m","lists/127/stimuli_position_map_1.csv",0.0951210475762156,341.899159663866,71.8991596638655,251.899159663866,"low",5.45279890564293,"maps/google_map_1.png","23.5536392417774","objects/1/1_34.jpg",0,"indoors","Ruler_Wooden.jpg","l",0.358473900000064,127,75,1,75,1305.19995117188,525.400024414062,2.42183906898607,341.899159663866,3.03095983665686,20.5226794051201
"806",22,"r","m","lists/127/stimuli_position_map_1.csv",0.706920146645435,341.899159663866,71.8991596638655,251.899159663866,"medium",40.5240848395472,"maps/google_map_1.png","58.6249251756817","objects/1/1_13.jpg",0,"outdoors","Bird_Duck.jpg","a",0.3705815000001,127,76,1,76,1203.40002441406,325.5,41.3886090068605,341.899159663866,0.864524167313284,59.4894493429945
"8110",22,"r","m","lists/127/stimuli_position_map_1.csv",3.44700358599789,341.899159663866,71.8991596638655,251.899159663866,"high",197.598931681408,"maps/google_map_1.png","144.300227982458","objects/1/1_92.jpg",0,"outdoors","Iguana.jpg","a",0.382982599999906,127,77,1,77,661.900024414062,595,190.453618875649,341.899159663866,7.14531280575892,151.445540788217
"826",22,"r","m","lists/127/stimuli_position_map_1.csv",2.38043940943798,341.899159663866,71.8991596638655,251.899159663866,"high",136.458310095171,"maps/google_map_1.png","154.559150431305","objects/1/1_57.jpg",0,"outdoors","Hat_Hard.jpg","a",0.314143500000029,127,78,1,78,714.299987792969,352,142.578202570161,341.899159663866,6.11989247499005,160.679042906295
"836",22,"r","m","lists/127/stimuli_position_map_1.csv",5.64848179271709,341.899159663866,341.899159663866,290.613445378151,"singletons",323.798319327731,"maps/google_map_1.png","None","objects/1/1_45.jpg",0,"outdoors","Seashell_AlternateTellin.jpg","a",0.34467789999988,127,79,1,79,1260.30004882812,740.400024414062,326.283523884258,341.899159663866,2.48520455652709,15.6156357796079
"846",22,"r","m","lists/127/stimuli_position_map_1.csv",1.56132719310365,341.899159663866,71.8991596638655,251.899159663866,"medium",89.5028327256871,"maps/google_map_1.png","107.603673061822","objects/1/1_135.jpg",0,"outdoors","Sphinx.jpg","a",0.358021500000206,127,80,1,80,962.299987792969,273,89.5064556776017,341.899159663866,0.00362295191457918,107.607296013736
"856",22,"r","m","lists/127/stimuli_position_map_1.csv",6.13275550676853,341.899159663866,71.8991596638655,251.899159663866,"low",351.559232872081,"maps/google_map_1.png","9.66007320821587","objects/2/2_17.jpg",1,"outdoors","ManholeCover.jpg","a",0.450272900000101,127,81,1,81,1289.30004882812,613.799987792969,347.368070095613,341.899159663866,4.19116277646839,5.46891043174662
"866",22,"r","m","lists/127/stimuli_position_map_1.csv",6.02096395889433,341.899159663866,71.8991596638655,251.899159663866,"low",345.150800191395,"maps/google_map_1.png","3.25164052752942","objects/1/1_126.jpg",1,"outdoors","Bench_Park.jpg","a",0.354895299999981,127,82,1,82,1280.19995117188,630.299987792969,344.250951118428,341.899159663866,0.899849072966674,2.35179145456232
"876",22,"r","m","lists/127/stimuli_position_map_1.csv",0.642449388116521,341.899159663866,71.8991596638655,251.899159663866,"medium",36.8283088729216,"maps/google_map_1.png","54.929149209056","objects/1/1_10.jpg",0,"outdoors","Fish_Rockbass.jpg","a",0.359431700000215,127,83,1,83,1236.5,312.700012207031,39.4223053738333,341.899159663866,2.5939965009117,57.5231457099673
"886",22,"r","m","lists/127/stimuli_position_map_1.csv",0.273742707007626,341.899159663866,71.8991596638655,251.899159663866,"low",15.6922570896091,"maps/google_map_1.png","33.7930974257436","objects/1/1_77.jpg",0,"indoors","Battery_AA.jpg","l",1.59673590000014,127,84,1,84,1285.19995117188,439.100006103516,17.2375816156206,341.899159663866,1.5453245260115,35.3384219517546
"896",22,"r","m","lists/127/stimuli_position_map_1.csv",2.10143143312905,341.899159663866,71.8991596638655,251.899159663866,"high",120.464222281283,"maps/google_map_1.png","138.565062617417","objects/1/1_110.jpg",0,"indoors","Belt.jpg","l",5.67084170000001,127,85,1,85,777,282.299987792969,125.379628308747,341.899159663866,4.91540602746363,143.480468644881
"906",22,"r","m","lists/127/stimuli_position_map_1.csv",6.151027096763,341.899159663866,71.8991596638655,251.899159663866,"low",352.606648859026,"maps/google_map_1.png","10.70748919516","objects/1/1_64.jpg",0,"indoors","Calculator.jpg","l",1.50316360000014,127,86,1,86,1292.80004882812,570.900024414062,354.695374689398,341.899159663866,2.08872583037237,12.7962150255324
"9110",22,"r","m","lists/127/stimuli_position_map_1.csv",5.72628021719162,341.899159663866,71.8991596638655,251.899159663866,"low",328.25810162245,"maps/google_map_1.png","13.6410580414159","objects/1/1_70.jpg",0,"outdoors","Colosseum.jpg","a",0.35741469999985,127,87,1,87,1247,730.599975585938,326.411409518415,341.899159663866,1.84669210403456,15.4877501454505
"926",22,"r","m","lists/127/stimuli_position_map_1.csv",5.74877832218836,341.899159663866,71.8991596638655,251.899159663866,"low",329.547801908887,"maps/google_map_1.png","12.3513577549789","objects/2/2_110.jpg",1,"outdoors","Crab.jpg","a",0.338326599999988,127,88,1,88,1266.69995117188,646,340.934099976518,341.899159663866,11.3862980676312,0.965059687347832
"936",22,"r","m","lists/127/stimuli_position_map_1.csv",0.112839619606401,341.899159663866,71.8991596638655,251.899159663866,"low",6.46851322584464,"maps/google_map_1.png","24.5693535619791","objects/2/2_110.jpg",1,"outdoors","Crab.jpg","a",0.359603300000032,127,89,1,89,1294.19995117188,501.100006103516,6.63920195610113,341.899159663866,0.170688730256492,24.7400422922351
"946",22,"r","m","lists/127/stimuli_position_map_1.csv",3.57104482049022,341.899159663866,71.8991596638655,251.899159663866,"high",204.709575696891,"maps/google_map_1.png","137.189583966974","objects/1/1_72.jpg",0,"outdoors","Sheep.jpg","a",0.412283099999883,127,90,1,90,680.200012207031,633.5,198.477941361369,341.899159663866,6.23163433552168,143.421218302497
"956",22,"r","m","lists/127/stimuli_position_map_1.csv",6.12235608732057,341.899159663866,71.8991596638655,251.899159663866,"low",350.963087808185,"maps/google_map_1.png","9.06392814431969","objects/1/1_114.jpg",0,"outdoors","Grenade.jpg","a",1.81525679999973,127,91,1,91,1314.09997558594,581.200012207031,353.363398992671,341.899159663866,2.40031118448621,11.4642393288052
"966",22,"r","m","lists/127/stimuli_position_map_1.csv",5.38534920634921,341.899159663866,341.899159663866,206.142857142857,"singletons",308.714285714286,"maps/google_map_1.png","None","objects/1/1_68.jpg",0,"indoors","Tortilla.jpg","l",0.281013499999887,127,92,1,92,1142.5,812.5,303.811200071748,341.899159663866,4.9030856425378,38.0879595921178
"976",22,"r","m","lists/127/stimuli_position_map_1.csv",5.77046830082895,341.899159663866,71.8991596638655,251.899159663866,"low",330.791176480641,"maps/google_map_1.png","11.1079831832249","objects/2/2_17.jpg",1,"outdoors","ManholeCover.jpg","a",1.18540289999979,127,93,1,93,1255.40002441406,679.099975585938,334.784872394378,341.899159663866,3.99369591373738,7.11428726948759
"986",22,"r","m","lists/127/stimuli_position_map_1.csv",0.134711238187464,341.899159663866,71.8991596638655,251.899159663866,"low",7.72230027826225,"maps/google_map_1.png","25.8231406143967","objects/1/1_108.jpg",0,"indoors","Lipstick.jpg","l",0.627922299999824,127,94,1,94,1303.40002441406,482,9.58673627263764,341.899159663866,1.86443599437539,27.6875766087716
"996",22,"r","m","lists/127/stimuli_position_map_1.csv",0.715976120355928,341.899159663866,71.8991596638655,251.899159663866,"medium",41.0432170904672,"maps/google_map_1.png","59.1440574266017","objects/1/1_123.jpg",0,"indoors","Chair_Rocking.jpg","l",0.381702099999899,127,95,1,95,1211.30004882812,402.5,28.6854807518766,341.899159663866,12.3577363385906,46.7863210880106
"1006",22,"r","m","lists/127/stimuli_position_map_1.csv",5.8676503890815,341.899159663866,71.8991596638655,251.899159663866,"low",336.362124214863,"maps/google_map_1.png","5.53703544900228","objects/1/1_88.jpg",0,"outdoors","Golf_Club.jpg","a",1.26463639999989,127,96,1,96,1259.09997558594,653.099975585938,339.28667272079,341.899159663866,2.92454850592662,2.61248694307636
"10110",22,"r","m","lists/127/stimuli_position_map_1.csv",5.12221661998133,341.899159663866,251.899159663866,94.5210084033613,"singletons",293.63025210084,"maps/google_map_1.png","None","objects/1/1_120.jpg",0,"outdoors","Hose_Garden.jpg","a",0.322199899999902,127,97,1,97,1062.30004882812,868.400024414062,287.302358778075,341.899159663866,6.32789332276531,54.5968008857913
"1026",22,"r","m","lists/127/stimuli_position_map_1.csv",5.90514578052653,341.899159663866,71.8991596638655,251.899159663866,"low",338.511541558846,"maps/google_map_1.png","3.38761810501992","objects/1/1_116.jpg",0,"outdoors","BicycleWheel.jpg","a",0.263653399999981,127,98,1,98,1306.90002441406,632.700012207031,345.038774123173,341.899159663866,6.52723256432705,3.13961445930704
"1036",22,"r","m","lists/127/stimuli_position_map_1.csv",3.25564612597359,341.899159663866,71.8991596638655,251.899159663866,"high",186.629395756448,"maps/google_map_1.png","155.269763907418","objects/1/1_49.jpg",0,"outdoors","Bird_Hen.jpg","a",0.39977310000009,127,99,1,99,642.400024414062,579.200012207031,187.03618845875,341.899159663866,0.406792702302113,154.862971205116
"1046",22,"r","m","lists/127/stimuli_position_map_1.csv",3.49353256629679,341.899159663866,71.8991596638655,251.899159663866,"high",200.266198067969,"maps/google_map_1.png","141.632961595897","objects/1/1_131.jpg",0,"indoors","MagazineRoll.jpg","l",0.386431999999928,127,100,1,100,640.099975585938,664.099975585938,201.202947573146,341.899159663866,0.936749505177175,140.69621209072
"1066",22,"r","m","lists/127/stimuli_position_map_2.csv",4.440260001847,251.899159663866,341.899159663866,161.899159663866,"low",254.537197558108,"maps/google_map_1.png","2.63803789424286","objects/2/2_17.jpg",1,"outdoors","ManholeCover.jpg","a",0.965994399999914,127,1,2,101,886.599975585938,852.099975585938,256.765614439865,251.899159663866,2.22841688175748,4.8664547759995
"1076",22,"r","m","lists/127/stimuli_position_map_2.csv",4.75447510577589,251.899159663866,341.899159663866,161.899159663866,"low",272.54952835658,"maps/google_map_1.png","20.6503686927142","objects/1/1_121.jpg",0,"indoors","Toast.jpg","l",0.521400600000021,127,2,2,102,972.700012207031,899.200012207031,272.024927876978,251.899159663866,0.524600479601645,20.1257682131124
"1086",22,"r","m","lists/127/stimuli_position_map_2.csv",4.22442931793248,251.899159663866,341.899159663866,161.899159663866,"low",242.164737970652,"maps/google_map_1.png","9.7344216932137","objects/1/1_130.jpg",1,"indoors","ToothBrush.jpg","l",0.392267800000042,127,3,2,103,836.900024414062,793.799987792969,244.125338836192,251.899159663866,1.96060086553967,7.77382082767431
"1096",22,"r","m","lists/127/stimuli_position_map_2.csv",4.33738406672234,251.899159663866,341.899159663866,161.899159663866,"low",248.639850958605,"maps/google_map_1.png","3.25930870526008","objects/1/1_130.jpg",1,"indoors","ToothBrush.jpg","l",0.474746300000021,127,4,2,104,841.299987792969,826.299987792969,247.481097483306,251.899159663866,1.15875347529879,4.41806218055979
"1106",22,"r","m","lists/127/stimuli_position_map_2.csv",4.10539564001574,251.899159663866,341.899159663866,161.899159663866,"low",235.341151338482,"maps/google_map_1.png","16.5580083253838","objects/1/1_60.jpg",1,"indoors","HumanSkeleton.jpg","l",0.483644600000076,127,5,2,105,810,825.5,242.282831172754,251.899159663866,6.94167983427215,9.61632849111183
